scenario,description,category,generated_video_name
0013_perspective-left_take-1_trimmed-ball-in-basket.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The black plastic crate sits on a wooden table. The orange inflatable basketball is released over the black plastic crate.,Solid Mechanics,0013_perspective-left_trimmed-ball-in-basket.mp4
0014_perspective-center_take-1_trimmed-ball-in-basket.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The black plastic crate sits on a wooden table. The orange inflatable basketball is released over the black plastic crate.,Solid Mechanics,0014_perspective-center_trimmed-ball-in-basket.mp4
0015_perspective-right_take-1_trimmed-ball-in-basket.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The black plastic crate sits on a wooden table. The orange inflatable basketball is released over the black plastic crate.,Solid Mechanics,0015_perspective-right_trimmed-ball-in-basket.mp4
0016_perspective-left_take-1_trimmed-ball-in-sand.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The green kinetic sand is located on a wooden table, and the blue-black grabber tool is suspended over it. The blue-black grabber tool releases the blue tennis ball above a pile of green kinetic sand.",Solid Mechanics,0016_perspective-left_trimmed-ball-in-sand.mp4
0017_perspective-center_take-1_trimmed-ball-in-sand.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The green kinetic sand is located on a wooden table, and the blue-black grabber tool is suspended over it. The blue-black grabber tool releases the blue tennis ball above a pile of green kinetic sand.",Solid Mechanics,0017_perspective-center_trimmed-ball-in-sand.mp4
0018_perspective-right_take-1_trimmed-ball-in-sand.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The green kinetic sand is located on a wooden table, and the blue-black grabber tool is suspended over it. The blue-black grabber tool releases the blue tennis ball above a pile of green kinetic sand.",Solid Mechanics,0018_perspective-right_trimmed-ball-in-sand.mp4
0019_perspective-left_take-1_trimmed-ball-ramp.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A simple ramp made of cardboard, propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame that directly points towards it. The yellow tennis ball rolls straight out of the black pipe onto the ramp.",Solid Mechanics,0019_perspective-left_trimmed-ball-ramp.mp4
0020_perspective-center_take-1_trimmed-ball-ramp.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A simple ramp made of cardboard, propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame that directly points towards it. The yellow tennis ball rolls straight out of the black pipe onto the ramp.",Solid Mechanics,0020_perspective-center_trimmed-ball-ramp.mp4
0021_perspective-right_take-1_trimmed-ball-ramp.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A simple ramp made of cardboard, propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame that directly points towards it. The yellow tennis ball rolls straight out of the black pipe onto the ramp.",Solid Mechanics,0021_perspective-right_trimmed-ball-ramp.mp4
0022_perspective-left_take-1_trimmed-ball-rolls-off.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light wood coffee table in the foreground with a black pipe on the left end of the table. The grey tennis ball rolls out of the pipe over the entire table towards the right.,Solid Mechanics,0022_perspective-left_trimmed-ball-rolls-off.mp4
0023_perspective-center_take-1_trimmed-ball-rolls-off.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light wood coffee table in the foreground with a black pipe on the left end of the table. The grey tennis ball rolls out of the pipe over the entire table towards the right.,Solid Mechanics,0023_perspective-center_trimmed-ball-rolls-off.mp4
0024_perspective-right_take-1_trimmed-ball-rolls-off.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light wood coffee table in the foreground with a black pipe on the left end of the table. The grey tennis ball rolls out of the pipe over the entire table towards the right.,Solid Mechanics,0024_perspective-right_trimmed-ball-rolls-off.mp4
0025_perspective-left_take-1_trimmed-ball-rolls-on-glass.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. The blue tennis ball rolls from the wooden table over the glass.,Solid Mechanics,0025_perspective-left_trimmed-ball-rolls-on-glass.mp4
0026_perspective-center_take-1_trimmed-ball-rolls-on-glass.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. The blue tennis ball rolls from the wooden table over the glass.,Solid Mechanics,0026_perspective-center_trimmed-ball-rolls-on-glass.mp4
0027_perspective-right_take-1_trimmed-ball-rolls-on-glass.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. The blue tennis ball rolls from the wooden table over the glass.,Solid Mechanics,0027_perspective-right_trimmed-ball-rolls-on-glass.mp4
0028_perspective-left_take-1_trimmed-ball-train.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center, back to back. A black pipe sits on the table on the left side and points towards the two tennis balls. The grey tennis ball rolls straight out of a black pipe from the left and hits the brown tennis ball.",Solid Mechanics,0028_perspective-left_trimmed-ball-train.mp4
0029_perspective-center_take-1_trimmed-ball-train.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center, back to back. A black pipe sits on the table on the left side and points towards the two tennis balls. The grey tennis ball rolls straight out of a black pipe from the left and hits the brown tennis ball.",Solid Mechanics,0029_perspective-center_trimmed-ball-train.mp4
0030_perspective-right_take-1_trimmed-ball-train.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center, back to back. A black pipe sits on the table on the left side and points towards the two tennis balls. The grey tennis ball rolls straight out of a black pipe from the left and hits the brown tennis ball.",Solid Mechanics,0030_perspective-right_trimmed-ball-train.mp4
0031_perspective-left_take-1_trimmed-balls-collide.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden tabletop with two pipes at the edges. The blue and the yellow tennis ball roll out of the pipes and collide with the same speed.,Solid Mechanics,0031_perspective-left_trimmed-balls-collide.mp4
0032_perspective-center_take-1_trimmed-balls-collide.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden tabletop with two pipes at the edges. The blue and the yellow tennis ball roll out of the pipes and collide with the same speed.,Solid Mechanics,0032_perspective-center_trimmed-balls-collide.mp4
0033_perspective-right_take-1_trimmed-balls-collide.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden tabletop with two pipes at the edges. The blue and the yellow tennis ball roll out of the pipes and collide with the same speed.,Solid Mechanics,0033_perspective-right_trimmed-balls-collide.mp4
0034_perspective-left_take-1_trimmed-block-domino.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A row of colorful wooden blocks has been lined up on a wooden table next to a black platform. The wooden stick attached to the black platform rotates clockwise and hits the first block.,Solid Mechanics,0034_perspective-left_trimmed-block-domino.mp4
0035_perspective-center_take-1_trimmed-block-domino.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A row of colorful wooden blocks has been lined up on a wooden table next to a black platform. The wooden stick attached to the black platform rotates clockwise and hits the first block.,Solid Mechanics,0035_perspective-center_trimmed-block-domino.mp4
0036_perspective-right_take-1_trimmed-block-domino.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A row of colorful wooden blocks has been lined up on a wooden table next to a black platform. The wooden stick attached to the black platform rotates clockwise and hits the first block.,Solid Mechanics,0036_perspective-right_trimmed-block-domino.mp4
0037_perspective-left_take-1_trimmed-blow-balloon.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The balloon is attached to a black hose that points upwards from behind a wooden table. Air is being pumped into the black balloon.,Fluid Dynamics,0037_perspective-left_trimmed-blow-balloon.mp4
0038_perspective-center_take-1_trimmed-blow-balloon.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The balloon is attached to a black hose that points upwards from behind a wooden table. Air is being pumped into the black balloon.,Fluid Dynamics,0038_perspective-center_trimmed-blow-balloon.mp4
0039_perspective-right_take-1_trimmed-blow-balloon.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The balloon is attached to a black hose that points upwards from behind a wooden table. Air is being pumped into the black balloon.,Fluid Dynamics,0039_perspective-right_trimmed-blow-balloon.mp4
0040_perspective-left_take-1_trimmed-cut-orange.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. One half of a tangerine has been placed on a glass cutting board. The knife slices through the tangerine.,Solid Mechanics,0040_perspective-left_trimmed-cut-orange.mp4
0041_perspective-center_take-1_trimmed-cut-orange.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. One half of a tangerine has been placed on a glass cutting board. The knife slices through the tangerine.,Solid Mechanics,0041_perspective-center_trimmed-cut-orange.mp4
0042_perspective-right_take-1_trimmed-cut-orange.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. One half of a tangerine has been placed on a glass cutting board. The knife slices through the tangerine.,Solid Mechanics,0042_perspective-right_trimmed-cut-orange.mp4
0043_perspective-left_take-1_trimmed-cut-paper.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two blue-black grabber tools pull the piece of green paper from opposite corners, causing it to tear.",Solid Mechanics,0043_perspective-left_trimmed-cut-paper.mp4
0044_perspective-center_take-1_trimmed-cut-paper.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two blue-black grabber tools pull the piece of green paper from opposite corners, causing it to tear.",Solid Mechanics,0044_perspective-center_trimmed-cut-paper.mp4
0045_perspective-right_take-1_trimmed-cut-paper.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two blue-black grabber tools pull the piece of green paper from opposite corners, causing it to tear.",Solid Mechanics,0045_perspective-right_trimmed-cut-paper.mp4
0046_perspective-left_take-1_trimmed-domino-in-juice.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The mug is sitting on a wooden surface. The blue-black grabber tool drops the white ceramic domino into the mug that is filled with a dark-colored liquid.,Fluid Dynamics,0046_perspective-left_trimmed-domino-in-juice.mp4
0047_perspective-center_take-1_trimmed-domino-in-juice.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The mug is sitting on a wooden surface. The blue-black grabber tool drops the white ceramic domino into the mug that is filled with a dark-colored liquid.,Fluid Dynamics,0047_perspective-center_trimmed-domino-in-juice.mp4
0048_perspective-right_take-1_trimmed-domino-in-juice.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The mug is sitting on a wooden surface. The blue-black grabber tool drops the white ceramic domino into the mug that is filled with a dark-colored liquid.,Fluid Dynamics,0048_perspective-right_trimmed-domino-in-juice.mp4
0049_perspective-left_take-1_trimmed-dominos-with-space.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two rows of alternating black and white dominoes have been set up on a wooden table with a gap between the two rows. The wooden stick attached to the black platform rotates clockwise and knocks the first domino.,Solid Mechanics,0049_perspective-left_trimmed-dominos-with-space.mp4
0050_perspective-center_take-1_trimmed-dominos-with-space.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two rows of alternating black and white dominoes have been set up on a wooden table with a gap between the two rows. The wooden stick attached to the black platform rotates clockwise and knocks the first domino.,Solid Mechanics,0050_perspective-center_trimmed-dominos-with-space.mp4
0051_perspective-right_take-1_trimmed-dominos-with-space.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two rows of alternating black and white dominoes have been set up on a wooden table with a gap between the two rows. The wooden stick attached to the black platform rotates clockwise and knocks the first domino.,Solid Mechanics,0051_perspective-right_trimmed-dominos-with-space.mp4
0052_perspective-left_take-1_trimmed-double-cradle.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding two metal balls at the position of the amplitude of the Newton's cradle. The Newton's cradle with five metal balls is sitting on a table. Two metal balls of the Newton's cradle device are released by the blue-black grabber tool.,Solid Mechanics,0052_perspective-left_trimmed-double-cradle.mp4
0053_perspective-center_take-1_trimmed-double-cradle.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding two metal balls at the position of the amplitude of the Newton's cradle. The Newton's cradle with five metal balls is sitting on a table. Two metal balls of the Newton's cradle device are released by the blue-black grabber tool.,Solid Mechanics,0053_perspective-center_trimmed-double-cradle.mp4
0054_perspective-right_take-1_trimmed-double-cradle.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool was holding two metal balls at the position of the amplitude of the Newton's cradle. The Newton's cradle with five metal balls is sitting on a table. Two metal balls of the Newton's cradle device are released by the blue-black grabber tool.,Solid Mechanics,0054_perspective-right_trimmed-double-cradle.mp4
0055_perspective-left_take-1_trimmed-duck-and-dominos.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A yellow rubber duck has been positioned in the middle of a line of black and white dominoes on a wooden table. The wooden stick attached to the black platform rotates clockwise and knocks the first domino block.,Solid Mechanics,0055_perspective-left_trimmed-duck-and-dominos.mp4
0056_perspective-center_take-1_trimmed-duck-and-dominos.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A yellow rubber duck has been positioned in the middle of a line of black and white dominoes on a wooden table. The wooden stick attached to the black platform rotates clockwise and knocks the first domino block.,Solid Mechanics,0056_perspective-center_trimmed-duck-and-dominos.mp4
0057_perspective-right_take-1_trimmed-duck-and-dominos.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A yellow rubber duck has been positioned in the middle of a line of black and white dominoes on a wooden table. The wooden stick attached to the black platform rotates clockwise and knocks the first domino block.,Solid Mechanics,0057_perspective-right_trimmed-duck-and-dominos.mp4
0058_perspective-left_take-1_trimmed-duck-falls-in-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. An orange-black grabber tool is suspended above the open dark green fabric box on a wooden table. The orange-black grabber tool releases the yellow rubber duck above the open dark green fabric box.,Solid Mechanics,0058_perspective-left_trimmed-duck-falls-in-box.mp4
0059_perspective-center_take-1_trimmed-duck-falls-in-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. An orange-black grabber tool is suspended above the open dark green fabric box on a wooden table. The orange-black grabber tool releases the yellow rubber duck above the open dark green fabric box.,Solid Mechanics,0059_perspective-center_trimmed-duck-falls-in-box.mp4
0060_perspective-right_take-1_trimmed-duck-falls-in-box.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. An orange-black grabber tool is suspended above the open dark green fabric box on a wooden table. The orange-black grabber tool releases the yellow rubber duck above the open dark green fabric box.,Solid Mechanics,0060_perspective-right_trimmed-duck-falls-in-box.mp4
0061_perspective-left_take-1_trimmed-duck-static.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Behind the wooden table is a plain white background. The yellow rubber duck sits stationary on a light brown wooden table.,Solid Mechanics,0061_perspective-left_trimmed-duck-static.mp4
0062_perspective-center_take-1_trimmed-duck-static.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Behind the wooden table is a plain white background. The yellow rubber duck sits stationary on a light brown wooden table.,Solid Mechanics,0062_perspective-center_trimmed-duck-static.mp4
0063_perspective-right_take-1_trimmed-duck-static.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Behind the wooden table is a plain white background. The yellow rubber duck sits stationary on a light brown wooden table.,Solid Mechanics,0063_perspective-right_trimmed-duck-static.mp4
0064_perspective-left_take-1_trimmed-fill-glass-red-drink.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser sits on a woven basket. The glass beverage dispenser pours the bright red liquid into a clear glass.,Fluid Dynamics,0064_perspective-left_trimmed-fill-glass-red-drink.mp4
0065_perspective-center_take-1_trimmed-fill-glass-red-drink.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser sits on a woven basket. The glass beverage dispenser pours the bright red liquid into a clear glass.,Fluid Dynamics,0065_perspective-center_trimmed-fill-glass-red-drink.mp4
0066_perspective-right_take-1_trimmed-fill-glass-red-drink.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser sits on a woven basket. The glass beverage dispenser pours the bright red liquid into a clear glass.,Fluid Dynamics,0066_perspective-right_trimmed-fill-glass-red-drink.mp4
0067_perspective-left_take-1_trimmed-glass-stays-same.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser sits on a woven basket and the glass is half-filled with red liquid. The glass beverage dispenser, filled with a bright red liquid, is stationary over the glass.",Fluid Dynamics,0067_perspective-left_trimmed-glass-stays-same.mp4
0068_perspective-center_take-1_trimmed-glass-stays-same.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser sits on a woven basket and the glass is half-filled with red liquid. The glass beverage dispenser, filled with a bright red liquid, is stationary over the glass.",Fluid Dynamics,0068_perspective-center_trimmed-glass-stays-same.mp4
0069_perspective-right_take-1_trimmed-glass-stays-same.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser sits on a woven basket and the glass is half-filled with red liquid. The glass beverage dispenser, filled with a bright red liquid, is stationary over the glass.",Fluid Dynamics,0069_perspective-right_trimmed-glass-stays-same.mp4
0070_perspective-left_take-1_trimmed-juice-in-water.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser pours grapefruit juice into a glass that has some water inside.,Fluid Dynamics,0070_perspective-left_trimmed-juice-in-water.mp4
0071_perspective-center_take-1_trimmed-juice-in-water.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser pours grapefruit juice into a glass that has some water inside.,Fluid Dynamics,0071_perspective-center_trimmed-juice-in-water.mp4
0072_perspective-right_take-1_trimmed-juice-in-water.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The glass beverage dispenser pours grapefruit juice into a glass that has some water inside.,Fluid Dynamics,0072_perspective-right_trimmed-juice-in-water.mp4
0073_perspective-left_take-1_trimmed-light-on-block.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue rectangular block sits on the black, clockwise-rotating platform, and the spotlight points toward the block. A blue rectangular block rotates clockwise on the black platform while the spotlight casts a large shadow on the wall behind it.",Optics,0073_perspective-left_trimmed-light-on-block.mp4
